| Projeto / Módulo TCC | Funcionalidade Principal | Eixo BNCC Computação | Código / Habilidade BNCC | Artigo LDB Relacionado | Disciplinas Interdisciplinares | Impacto Pedagógico / Justificativa |
| PRJ 2.2 - Jogo de reflexo (Acerte o Botão) | Variáveis Temp., Contadores, Operadores | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender variáveis temp., contadores, operadores no contexto de Pensamento Computacional. |
| PRJ 2.3 - Portão automático com sensor ultrassônico | Ultrassom, Servomotor, Condicionais | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender ultrassom, servomotor, condicionais no contexto de Pensamento Computacional. |
| PRJ 2.4 - Lixeira automática | Sensor de Proximidade e Atuação Mecânica | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender sensor de proximidade e atuação mecânica no contexto de Mundo Digital. |
| PRJ 2.5 - Fotos com microcontroladores | Captura Digital e Disparo por Hardware | Mundo Digital | EF02CO04 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender captura digital e disparo por hardware no contexto de Mundo Digital. |
| PRJ 2.6 - Comunicação com outros controladores | Comunicação Serial RX/TX | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender comunicação serial rx/tx no contexto de Pensamento Computacional. |
| PRJ 2.7 - Termômetro escolar | Sensor de Temperatura e Mapeamento Analógico | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender sensor de temperatura e mapeamento analógico no contexto de Mundo Digital. |
| PRJ 2.8 - Automação de regagem de plantas | Sensor de Umidade do Solo e Relés | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender sensor de umidade do solo e relés no contexto de Mundo Digital. |
| PRJ 2.9 - Robô com desvio de proximidade | Ponte H, Motores DC e Algoritmo de Esquiva | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender ponte h, motores dc e algoritmo de esquiva no contexto de Pensamento Computacional. |
| PRJ 3.1 - Jogo da Memória com LEDs | Arrays, Funções, Loops e Randomização | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Matematica (Medidas de tempo e operadores relacionais.) | Jogos de reflexo medem o tempo de reação humano. Como podemos utilizar um microcontrolador para gerar um evento aleatório e medir milissegundos? |
| PRJ 3.2 - Lâmpada noturna automática | Sensor LDR, Leitura Analógica e Histese | Mundo Digital | EF02CO04 | Art. 32 da LDB | Fisica (Sistemas tecnológicos e eficiência energética.) | Iluminação pública ativa durante o dia gera desperdício de energia. Como automatizar o acendimento das lâmpadas com base na luz natural? |
| PRJ 3.3 - Despertador com sensores | Módulo RTC, Alarmes e Sinalização Sonora | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender módulo rtc, alarmes e sinalização sonora no contexto de Pensamento Computacional. |
| PRJ 3.4 - Estação de telemetria | Multissensores e Transmissão de Dados | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender multissensores e transmissão de dados no contexto de Mundo Digital. |
| PRJ 3.5 - Estacionamento com contador de vagas | Displays de 7 Segmentos e Sensores Ópticos | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender displays de 7 segmentos e sensores ópticos no contexto de Mundo Digital. |
| PRJ 3.6 - Contador de pessoas | Sensores de Barreira Infravermelha | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender sensores de barreira infravermelha no contexto de Mundo Digital. |
| PRJ 3.7 - Câmera fotográfica | Mapeamento de Arquivos em Cartão SD | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender mapeamento de arquivos em cartão sd no contexto de Pensamento Computacional. |
| PRJ 3.8 - Enviando fotos pela rede | Protocolo HTTP e Requisições POST | Cultura Digital | EF02CO04 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender protocolo http e requisições post no contexto de Cultura Digital. |
| PRJ 3.9 - Comunicação Via Rádio | Transceptores RF/LoRa e Pacotes de Dados | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender transceptores rf/lora e pacotes de dados no contexto de Pensamento Computacional. |
| PRJ 3.10 - Estação de Monitoramento de pH | Calibração de Sensores Químicos e ADC | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender calibração de sensores químicos e adc no contexto de Mundo Digital. |
| PRJ 3.11 - Comedor Pet Automático | Temporizadores de Precisão e Servomecanismo | Pensamento Computacional | EF01CO02 | Art. 32 da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender temporizadores de precisão e servomecanismo no contexto de Pensamento Computacional. |
| PRJ 3.12 - Robô seguidor de linha | Sensores Reflexivos IR e Algoritmo PID | Mundo Digital | EF02CO04 | Art. 32 da LDB | Física / Ciências da Natureza | Desenvolve a capacidade de compreender sensores reflexivos ir e algoritmo pid no contexto de Mundo Digital. |
| PRJ 4.1 - Calculadora | Teclado Matricial e Displays LCD | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Matemática | Desenvolve a capacidade de compreender teclado matricial e displays lcd no contexto de Pensamento Computacional. |
| PRJ 4.2 - Urna eletrônica | Máquinas de Estado e Memória EEPROM/Flash | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender máquinas de estado e memória eeprom/flash no contexto de Pensamento Computacional. |
| PRJ 4.3 - Radar Sonar | Varredura Angular e Renderização Gráfica | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender varredura angular e renderização gráfica no contexto de Pensamento Computacional. |
| PRJ 4.4 - Controle de Acesso (NFC) | Comunicação SPI/I2C e Leitura RFID/NFC | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender comunicação spi/i2c e leitura rfid/nfc no contexto de Pensamento Computacional. |
| PRJ 4.5 - Servidor com fotos | Web Server Embarcado e Arquivos Estáticos | Cultura Digital | EM13CO07 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender web server embarcado e arquivos estáticos no contexto de Cultura Digital. |
| PRJ 4.6 - Câmera de monitoramento | Streaming MJPEG e Protocolo WebSocket | Cultura Digital | EM13CO07 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender streaming mjpeg e protocolo websocket no contexto de Cultura Digital. |
| PRJ 4.7 - Automação Elétrica | Módulos Relé, Cargas AC e Protocolo MQTT | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender módulos relé, cargas ac e protocolo mqtt no contexto de Pensamento Computacional. |
| PRJ 4.8 - Sistema autônomo de estacionamento | Lógica Fuzzy e Processamento de Imagens | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender lógica fuzzy e processamento de imagens no contexto de Pensamento Computacional. |
| PRJ 4.9 - Rastreador Solar | Malha fechada, Ponte Divisora LDR, Motores Servo | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Fisica (Transformação e otimização de energia renovável.) | Painéis solares fixos perdem até 40% de eficiência ao longo do dia. Como criar um mecanismo rotacional que acompanhe a incidência da luz solar em tempo real? |
| PRJ 4.10 - Robô com controle a distância | Teleoperação via Wi-Fi/Bluetooth e Gamepad | Pensamento Computacional | EM13CO01 | Art. 35-A da LDB | Ciências / Lógica | Desenvolve a capacidade de compreender teleoperação via wi-fi/bluetooth e gamepad no contexto de Pensamento Computacional. |
